iter	Passed	Remaining
0	1305	651393
1	1444	359772
2	2529	419058
3	3649	452485
4	4778	473088
5	5879	484081
6	7012	493859
7	8150	501266
8	9294	507092
9	10403	509757
10	11493	510935
11	12394	504059
12	13558	507931
13	14761	512437
14	15858	512751
15	16335	494161
16	17431	495259
17	17545	469837
18	18669	472643
19	19120	458900
20	20229	461431
21	21391	464775
22	22484	466304
23	23593	467929
24	24767	470574
25	25940	472906
26	27125	475200
27	28244	476118
28	29374	477085
29	29506	462266
30	30596	462899
31	30821	450764
32	32022	453165
33	33283	456179
34	33573	446052
35	34802	448559
36	36025	450807
37	37211	452407
38	38358	453422
39	39707	456633
40	41033	459378
41	42353	461851
42	43736	464827
43	45042	466803
44	46341	468568
45	47479	468604
46	48835	470695
47	50172	472456
48	51516	474160
49	52884	475957
50	54241	477540
51	54548	469952
52	55944	471831
53	56520	466813
54	58029	469512
55	59414	471068
56	60850	472924
57	61053	465271
58	62616	468028
59	63868	468370
60	65030	468007
61	65113	459994
62	66274	459716
63	66553	453397
64	67710	453137
65	68843	452701
66	69969	452188
67	71235	452553
68	72486	452775
69	73672	452560
70	73907	446565
71	73920	439418
72	75163	439656
73	76024	437654
74	77199	437463
75	78349	437110
76	78386	430616
77	79559	430437
78	80761	430386
79	81967	430327
80	83115	429941
81	84485	430667
82	84969	426894
83	86195	426873
84	86215	420936
85	86471	416268
86	87735	416492
87	88952	416460
88	90169	416399
89	90471	412150
90	90502	406761
91	91148	404222
92	92372	404254
93	93612	404325
94	93693	399430
95	95031	399925
96	96384	400444
97	97380	399458
98	98550	399178
99	99835	399341
100	100111	395491
101	100368	391634
102	100514	387419
103	100541	382830
104	101891	383306
105	102870	382369
106	103443	379936
107	104710	380061
108	105619	378874
109	106909	379043
110	108203	379201
111	109422	379069
112	110723	379202
113	111984	379175
114	113162	378847
115	114083	377655
116	115292	377411
117	115734	374666
118	115815	370804
119	116982	370444
120	117017	366525
121	118106	365936
122	119263	365548
123	120406	365102
124	120431	361293
125	121550	360792
126	122804	360676
127	124061	360553
128	125217	360122
129	126376	359685
130	126503	356335
131	127713	356048
132	128883	355642
133	129098	352612
134	129148	349180
135	130283	348700
136	130366	345424
137	131530	345028
138	132709	344662
139	133849	344185
140	135028	343794
141	136235	343465
142	137467	343187
143	138608	342670
144	138658	339474
145	138694	336285
146	139129	334099
147	140321	333737
148	141568	333494
149	142869	333362
150	144029	332888
151	144261	330282
152	144276	327216
153	144331	324277
154	145547	323960
155	145597	321061
156	146740	320585
157	146765	317682
158	147918	317233
159	149103	316844
160	150301	316472
161	151173	315410
162	152319	314917
163	153516	314521
164	154859	314411
165	156287	314457
166	156564	312190
167	156587	309446
168	156615	306743
169	158198	307090
170	159547	306964
171	160559	306183
172	161783	305799
173	162727	304880
174	162755	302259
175	163926	301773
176	165079	301246
177	166243	300732
178	167470	300324
179	168840	300160
180	170045	299694
181	171393	299467
182	172759	299260
183	173335	297685
184	174826	297676
185	176256	297551
186	176293	295080
187	177669	294855
188	178886	294358
189	180121	293882
190	181349	293386
191	182643	292991
192	182988	291074
193	184204	290549
194	184336	288320
195	185535	287768
196	186791	287298
197	187062	285317
198	188363	284910
199	188407	282611
200	189033	281199
201	190357	280825
202	191728	280509
203	192941	279954
204	194199	279458
205	195256	278666
206	196628	278320
207	198122	278133
208	198147	275889
209	199392	275351
210	200355	274421
211	201650	273939
212	203053	273597
213	204474	273269
214	205704	272677
215	206721	271800
216	208118	271417
217	208678	269941
218	210092	269570
219	210122	267428
220	210283	265470
221	211577	264948
222	212906	264461
223	212930	262360
224	213999	261555
225	215211	260919
226	216428	260285
227	216605	258406
228	216648	256383
229	218089	256017
230	218125	254008
231	219468	253524
232	220796	253015
233	222199	252585
234	223499	252031
235	223963	250535
236	223981	248553
237	224007	246596
238	225147	245871
239	226316	245175
240	226355	243261
241	226851	241850
242	228093	241235
243	229386	240667
244	230797	240217
245	232155	239705
246	233501	239173
247	233779	237549
248	233994	235874
249	234584	234584
250	235983	234103
251	236020	232273
252	237423	231792
253	238757	231237
254	238791	229426
255	240164	228906
256	241703	228536
257	243381	228288
258	244897	227877
259	246211	227272
260	247466	226607
261	247505	224833
262	248724	224135
263	249904	223399
264	251204	222766
265	252694	222295
266	254382	221989
267	255917	221540
268	256006	219842
269	257686	219510
270	259112	218954
271	259716	217703
272	260290	216432
273	261561	215740
274	262810	215026
275	262912	213378
276	264194	212691
277	264342	211093
278	265576	210367
279	266856	209672
280	268089	208938
281	269450	208298
282	269489	206640
283	269542	205004
284	270909	204370
285	272130	203622
286	273584	203043
287	274894	202353
288	275381	201057
289	275639	199601
290	276853	198839
291	277310	197536
292	277328	195928
293	278567	195186
294	279810	194444
295	280769	193503
296	280790	191920
297	282099	191221
298	283289	190438
299	284588	189725
300	284610	188164
301	284627	186610
302	284681	185089
303	285141	183841
304	286407	183112
305	286427	181591
306	287607	180808
307	288851	180063
308	288977	178623
309	289225	177267
310	290508	176547
311	291765	175807
312	293012	175058
313	294214	174280
314	295454	173520
315	296713	172769
316	297934	171993
317	299167	171221
318	300106	170280
319	301327	169496
320	301413	168077
321	302758	167363
322	302978	166028
323	304178	165232
324	305387	164439
325	306619	163655
326	306648	162232
327	307900	161459
328	309211	160714
329	309239	159305
330	310501	158534
331	311746	157751
332	313004	156972
333	314253	156185
334	315446	155369
335	316799	154628
336	316914	153284
337	317006	151938
338	317252	150671
339	317339	149336
340	318585	148548
341	319901	147790
342	321229	147034
343	322528	146262
344	324063	145593
345	325575	144909
346	325702	143609
347	327188	142909
348	327246	141588
349	328523	140795
350	328790	139571
351	330243	138852
352	330272	137535
353	331961	136910
354	332004	135607
355	333504	134900
356	333530	133599
357	334930	132849
358	336483	132156
359	338062	131468
360	339833	130849
361	340436	129779
362	341867	129024
363	343200	128228
364	343362	126997
365	344412	126096
366	345814	125322
367	345914	124078
368	345981	122828
369	347471	122084
370	348877	121307
371	350225	120507
